102	Flex 4 and Spring 3 Integration	24153	http://cdn.dzone.com/sites/all/files/refcardz/rc102-010d-flex4spring3int_1.pdf	rc102-010d-flex4spring3int_1.pdf
103	Leveraging ColdFusion 9 Exposed Services from Java	24471	http://cdn.dzone.com/sites/all/files/refcardz/rc103-010d-cfaas.pdf	rc103-010d-cfaas.pdf
104	Getting Started with Apache Ant	24765	http://cdn.dzone.com/sites/all/files/refcardz/rc104-010d-apacheant_1.pdf	rc104-010d-apacheant_1.pdf
105	Getting Started with NoSQL and Data Scalability	25105	http://cdn.dzone.com/sites/all/files/refcardz/rc105-010d-nosql.pdf	rc105-010d-nosql.pdf
106	Expression-Based Authorization with Spring Security 3	25493	http://cdn.dzone.com/sites/all/files/refcardz/rc106-010d-springsecurity_2.pdf	rc106-010d-springsecurity_2.pdf
107	Getting Started with Griffon	25785	http://cdn.dzone.com/sites/all/files/refcardz/rc107-010d-griffon_1.pdf	rc107-010d-griffon_1.pdf
108	Getting Started with Firebug 1.5	26129	http://cdn.dzone.com/sites/all/files/refcardz/rc108-010d-firebug.pdf	rc108-010d-firebug.pdf
109	Getting Started with Kanban for Software Development	26621	http://cdn.dzone.com/sites/all/files/refcardz/rc109-010d-kanban_8.pdf	rc109-010d-kanban_8.pdf
110	Objective-C for the iPhone and iPad	26935	http://cdn.dzone.com/sites/all/files/refcardz/rc110-010d-objective-c_0.pdf	rc110-010d-objective-c_0.pdf
111	Getting Started with Windows Communication Foundation 4.0	27343	http://cdn.dzone.com/sites/all/files/refcardz/rc111-010d-wcf.pdf	rc111-010d-wcf.pdf
112	Getting Started with UML	27717	http://cdn.dzone.com/sites/all/files/refcardz/rc112-010d-uml.pdf	rc112-010d-uml.pdf
113	Getting Started with Adobe Flash Catalyst	28127	http://cdn.dzone.com/sites/all/files/refcardz/rc113-010d-flashcat_0.pdf	rc113-010d-flashcat_0.pdf
114	Application Prototyping with SketchFlow	28467	http://cdn.dzone.com/sites/all/files/refcardz/rc114-010d-application-prototyping_1.pdf	rc114-010d-application-prototyping_1.pdf
115	Getting Started with Infinispan	28735	http://cdn.dzone.com/sites/all/files/refcardz/rc115-010d-infinispan_0.pdf	rc115-010d-infinispan_0.pdf
116	Adobe ColdFusion Web Services for PHP Programmers	29045	http://cdn.dzone.com/sites/all/files/refcardz/rc116-010d-coldfusionws_php.pdf	rc116-010d-coldfusionws_php.pdf
117	Getting Started with Apache Hadoop	29363	http://cdn.dzone.com/sites/all/files/refcardz/rc117-010d-apache_hadoop.pdf	rc117-010d-apache_hadoop.pdf
118	Getting Started with Visual Studio 2010	29773	http://cdn.dzone.com/sites/all/files/refcardz/rc118-010d-visualstudio10.pdf	rc118-010d-visualstudio10.pdf
119	Getting Started with Application Lifecycle Management	29959	http://cdn.dzone.com/sites/all/files/refcardz/rc119-010d-alm_1.pdf	rc119-010d-alm_1.pdf
120	Apache Solr: Getting Optimal Search Results	30283	http://cdn.dzone.com/sites/all/files/refcardz/rc120-010d-solr_0.pdf	rc120-010d-solr_0.pdf
121	Open Source Media Framework: Building Simple Custom Video Players	30653	http://cdn.dzone.com/sites/all/files/refcardz/rc121-010d-osmf_0.pdf	rc121-010d-osmf_0.pdf
122	Functional Programming with Clojure: Simple Concurrency on the JVM	30953	http://cdn.dzone.com/sites/all/files/refcardz/rc122-010d-clojure.pdf	rc122-010d-clojure.pdf
123	HTML5: New Standards for Web Interactivity	31223	http://cdn.dzone.com/sites/all/files/refcardz/rc123-010d-html5_1.pdf	rc123-010d-html5_1.pdf
124	PHPUnit: PHP Test-Driven Development - Automated Tools to Improve Your PHP Code Quality	31523	http://cdn.dzone.com/sites/all/files/refcardz/rc124-010d-phpunit_1.pdf	rc124-010d-phpunit_1.pdf
125	Selenium 2.0: Using the WebDriver API to Create Robust User Acceptance Tests	31797	http://cdn.dzone.com/sites/all/files/refcardz/rc125-010d-selenium2_6.pdf	rc125-010d-selenium2_6.pdf
126	Liferay Essentials: A Definitive Guide for Enterprise Portal Development	32343	http://cdn.dzone.com/sites/all/files/refcardz/rc126_liferay_essentials_2.pdf	rc126_liferay_essentials_2.pdf
127	Developing a Silverlight Application for Windows Phone 7	32633	http://cdn.dzone.com/sites/all/files/refcardz/rc127-010d-wp7.pdf	rc127-010d-wp7.pdf
128	What's New in JPA 2.0	32949	http://cdn.dzone.com/sites/all/files/refcardz/rc128-010d-jpa2_0.pdf	rc128-010d-jpa2_0.pdf
129	REST: Foundations of RESTful Architecture	33723	http://cdn.dzone.com/sites/all/files/refcardz/rc129-010d-rest_1.pdf	rc129-010d-rest_1.pdf
130	Designing Quality Software: Architectural and Technical Best Practices	34051	http://cdn.dzone.com/sites/all/files/refcardz/rc130-010d-designing-quality_0.pdf	rc130-010d-designing-quality_0.pdf
131	ADO.NET Entity Framework: Object-Relational Mapping and Data Access	34355	http://cdn.dzone.com/sites/all/files/refcardz/rc131-010d-adonet-ef.pdf	rc131-010d-adonet-ef.pdf
132	Mastering Portals with a Portlet Bridge	35011	http://cdn.dzone.com/sites/all/files/refcardz/rc132-010d-portalbridge.pdf	rc132-010d-portalbridge.pdf
133	Apache Hadoop Deployment: A Blueprint for Reliable Distributed Computing	35283	http://cdn.dzone.com/sites/all/files/refcardz/rc133-010d-deploying-hadoop_1.pdf	rc133-010d-deploying-hadoop_1.pdf
134	Cloud Computing with Windows Azure Platform	35943	http://cdn.dzone.com/sites/all/files/refcardz/rc134-010d-windows-azure.pdf	rc134-010d-windows-azure.pdf
135	The MVVM Design Pattern: A Formula for Elegant, Maintainable Mobile Apps	36273	http://cdn.dzone.com/sites/all/files/refcardz/rc135-010d-mvvm.pdf	rc135-010d-mvvm.pdf
136	WebMatrix: Advanced Web Development Made Simple	36935	http://cdn.dzone.com/sites/all/files/refcardz/rc136-010d-webmatrix_3.pdf	rc136-010d-webmatrix_3.pdf
137	Understanding Lucene: Powering Better Search Results	37143	http://cdn.dzone.com/sites/all/files/refcardz/rc137-010d-lucene_0.pdf	rc137-010d-lucene_0.pdf
138	RichFaces 4.0: A Next Generation JSF Framework	38169	http://cdn.dzone.com/sites/all/files/refcardz/rc138-010d-richfaces4.pdf	rc138-010d-richfaces4.pdf
139	Spring Roo: Making Java Fun Again	38521	http://cdn.dzone.com/sites/all/files/refcardz/rc139-010d-springroo.pdf	rc139-010d-springroo.pdf
140	Mule 3.3: Simplifying SOA	117111	http://cdn.dzone.com/sites/all/files/refcardz/rc140-update-Mule3.3_0.pdf	rc140-update-Mule3.3_0.pdf
